Name,Months
Racehorses: Harness racing (standardbred horses),84
Racehorses: Jumps racing (thoroughbred horses),120
Racehorses: Lead and companion ponies (horses),60
Rainwater tanks: Galvanised steel,300
Rainwater tanks: Polyethylene,180
"Refrigeration assets: Compressors, condensers, evaporators etc",180
Refrigeration assets: Insulation panels used in cool or freezer rooms,480
Robots (industrial),120
"Saws, bench and mitre, portable",84
Security and monitoring assets: Access control systems: Code pads,60
Security and monitoring assets: Access control systems: Door controllers,60
Security and monitoring assets: Access control systems: Readers: Proximity,84
Security and monitoring assets: Access control systems: Readers: Swipe card,36
Security and monitoring assets: Ballistic and blast resistant screens and barriers (including fixed and rising types) not forming part of the building,240
Security and monitoring assets: CCTV systems: Cameras,48
Security and monitoring assets: CCTV systems: Monitors,48
Security and monitoring assets: CCTV systems: Recorders: Digital,48
Security and monitoring assets: CCTV systems: Recorders: Time lapse,24
Security and monitoring assets: CCTV systems: Switching units (including multiplexers),60
Security and monitoring assets: Security systems: Code pads,60
Security and monitoring assets: Security systems: Control panels,60
"Security and monitoring assets: Security systems: Detectors (including glass, passive infrared and vibration)",60
Security and monitoring assets: Security systems: Global system for mobiles (GSM) units,60
Security and monitoring assets: Security systems: Noise maker (including alarms and bells),60
Sewing machines,120
"Silos: Bulk handling: Ancillary mechanical assets (including augers, bucket elevators, conveyors etc)",180
Silos: Bulk handling: Concrete construction,600
Silos: Bulk handling: Galvanised construction,360
Silos: Bulk handling: Steel construction,480
Solar photovoltaic electricity generation system assets,240
"Spas used as plant in a business (incorporating blowers, controls, filters, heaters and pumps)",204
Spray booths,180
"Stacks (chimney stacks, exhaust stacks, flues etc): Concrete stacks (including concrete reinforced stacks)",360
"Stacks (chimney stacks, exhaust stacks, flues etc): Flare stacks",300
"Stacks (chimney stacks, exhaust stacks, flues etc): Reinforced plastic stacks",300
"Stacks (chimney stacks, exhaust stacks, flues etc): Steel stacks (steel flues)",240
Suitcases,120
Swimming pool assets: Chlorinators,144
Swimming pool assets: Cleaning assets,84
Swimming pool assets: Covers (including blankets),96
Swimming pool assets: Filtration assets (including pumps),144
Swimming pool assets: Heaters: Electric,180
